"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr","S_prev_May","S_prev_Jun","S_prev_Jul","S_prev_Aug","S_prev_Sep","S_prev_Oct","S_prev_Nov","S_prev_Dec","S_Jan","S_Feb","S_Mar","S_Apr"
1989,65.8,74.4,81.9,80.6,68.9,54.4,49.9,38.7,39.8,37.8,46.1,55.4,4.5,0.95,3.75,2.39,1.85,1.76,5.33,1.3,2.49,2.8,4.3,3.5,0,0,0,0,0,0,0,1.2,2.9,1.2,0.4,0
1990,64.1,76.8,78.3,77,71.3,60.4,47.9,27.9,43.6,45.2,50.2,56.8,7.77,6.02,5.66,1.15,6.68,5.48,2.37,2.1,2.95,1.3,2.58,4.09,0,0,0,0,0,0,3.5,9,0.2,0,2.4,0.2
1991,64.2,74.9,79.3,76.5,69.6,62.7,52,44.5,38.6,43,48.8,58.2,5.2,3.14,3.79,6.75,0.87,3.3,2.18,4.74,2.9,0.83,4.42,1.39,0,0,0,0,0,0,0,3,4.8,0.3,0,0
1992,72.9,76.8,81.4,80,71,60.4,48.8,42.3,38.2,41.2,45,55.4,1.57,1.27,3.76,2.04,3.5,2.03,0.85,5.07,2.78,2.23,3.48,2.55,0,0,0,0,0,0,0,0,4,2.6,0,0
1993,62.3,71.7,79.5,73.9,69.2,55.9,48.8,39.6,39.7,34.3,42.2,54.8,3.42,2.35,5.35,2.48,3.49,2.04,3.38,2.87,2.9,2.28,6.82,3.62,0,0,0,0,0,0,0,1,0,4.1,6.6,0
1994,67.4,75.3,83.1,79.6,70.9,58,48.8,38.1,28.8,36.3,45.4,62,3.4,1.73,1.36,3.87,3.69,2.62,4.76,4.38,4.28,4.2,8.46,1.59,0,0,0,0,0,0,0,2.6,3.5,3.1,4,0
1995,63,79.4,81.8,75.5,70.2,59.1,53.3,44.2,39.5,34.3,49.1,56.3,1.57,1.59,3.62,4.35,2.84,1.19,1.57,2.35,3.22,1.71,2.14,1.89,0,0,0,0,0,0,0,0,3.9,5.8,0.4,0
1996,65.8,74.6,81.4,81.3,71,62.3,43.1,35.6,32.8,37.2,42.9,56.8,4.19,2.43,4.03,0.88,3.73,8.65,4.76,2.17,5.02,2,3.6,3.17,0,0,0,0,0,0,0.5,1.3,23.8,15.2,5.2,0
1997,63.9,77.2,77.6,76.5,70.5,59.4,44.1,42.9,37,44.7,48.7,53.9,4.96,3.15,5.59,2.64,7.79,4.04,3.58,5.51,2.56,2.43,4.15,2.41,0,0,0,0,0,0,0.2,0.2,2.3,4,0,0
1998,62.9,73.1,80.3,77.6,70.4,59.6,46.1,41,43,43.4,46.9,57.4,3.05,2.94,1.14,3.51,1.59,3.73,4.6,1.75,5.43,5.23,5.39,3.97,0,0,0,0,0,0,0,0.1,0,0,0,0
1999,67.5,72.9,78.9,79.4,75.4,60,50.3,44.4,38.1,40.9,44.5,56.5,4.05,4.42,1.8,0.59,1.83,0.6,0.91,1.74,5.43,2.55,3.87,2.09,0,0,0,0,0,0,0,0.5,2.2,0.2,8.7,0
2000,67.3,74.7,82.9,79.6,70,57.1,53.1,42,35.8,42.4,51.7,55.6,1.28,2.27,1.01,5.02,10.27,2.16,1.82,2.49,3.67,2.07,3.98,5.14,0,0,0,0,0,0,0,0,14.4,0.9,0,0
2001,67.8,74.7,74.6,75.1,67.6,60.1,46.6,31.8,35.5,40.9,43.7,57.6,3.08,4.94,5.51,3.77,4.91,0.02,1.6,2.02,2.23,1.83,3.88,1.69,0,0,0,0,0,0,0,2,2.4,2.8,0.2,0
2002,65.9,75.2,75.2,78.9,68.9,59.7,54.8,45.4,41.6,42.6,47.7,59.9,3.7,4.7,4.78,2.99,1.42,0.69,0.56,1.54,1.32,0.47,3.37,3.48,0,0,0,0,0,0,0,0,2.7,0.5,0,0
2003,65.2,76.1,80.9,81.1,73,58.6,47.1,37.2,31.1,33.6,47.1,55.1,2.17,3.81,2.2,1.63,2.1,5.01,4.35,4.45,2.41,6.98,4.2,2.56,0,0,0,0,0,0,0,7.1,4.5,28.8,0.1,0
2004,61.7,71.3,77.7,78.8,70.4,57.5,53.1,39.2,30.5,38.1,48.8,57.4,7.06,7.88,5.77,4.65,6.86,3.93,4.23,4.32,1.35,2.28,2.09,3.85,0,0,0,0,0,0,0,6.2,6.2,0,0,0
